merchant_id,merchant_name,merchant_category,region,commission_rate,total_turnover,num_of_transactions,num_of_unique_clients,avg_transaction_amount,rank_in_category_region,total_commission_earned,Adulte,Age Moyen,Jeune,Senior
M00357,MotorHub 58,Automotive,Grand Est,0.0854,202254.46999999994,212,203,954.0305188679242,4,17272.531737999994,60496.440000000024,62841.31999999999,16790.11,62126.6
M00164,CarParts 65,Automotive,Grand Est,0.0938,161684.53999999998,220,209,734.9297272727272,5,15166.009851999997,43833.07000000001,44731.76000000001,22235.690000000006,50884.01999999999
M00343,CarParts 44,Automotive,Hauts-de-France,0.0353,195334.52999999997,227,219,860.5045374449338,1,6895.3089089999985,44526.58000000001,71393.83,34362.799999999996,45051.32000000001
M00356,CarParts 57,Automotive,Hauts-de-France,0.0966,126096.06999999996,162,153,778.3708024691356,2,12180.880361999996,42701.99000000001,23729.650000000005,21250.37,38414.05999999999
M00024,CarParts 25,Automotive,Ile-de-France,0.0978,363430.60999999987,348,329,1044.340833333333,1,35543.51365799999,96237.22,115342.59,40210.39,111640.41
M00438,AutoShop 39,Automotive,Ile-de-France,0.0595,266650.7400000001,311,301,857.3978778135051,2,15865.719030000006,62845.09,86500.71,39708.020000000004,77596.92000000003
M00499,AutoCenter 100,Automotive,Ile-de-France,0.0548,235304.62999999992,219,211,1074.4503652968033,3,12894.693723999995,71075.1,61872.039999999986,32056.51,70300.98000000001
M00177,CarParts 78,Automotive,Ile-de-France,0.0236,130800.58000000002,132,131,990.9134848484849,4,3086.893688,33407.259999999995,39125.33000000001,19348.569999999996,38919.420000000006
M00483,CarParts 84,Automotive,Ile-de-France,0.0249,108438.31000000001,121,120,896.1843801652893,5,2700.1139190000004,26433.7,31426.05,15543.97,35034.58999999999
M00063,MotorHub 64,Automotive,Normandie,0.0514,171248.18,175,172,978.5610285714286,1,8802.156452,57013.83999999999,45550.229999999996,14006.960000000001,54677.15
M00406,CarParts 7,Automotive,Normandie,0.0965,65183.370000000024,120,119,543.1947500000002,2,6290.195205000003,25396.520000000008,15972.08,7189.0199999999995,16625.75
M00229,AutoCenter 30,Automotive,Nouvelle-Aquitaine,0.047,408452.27,323,297,1264.5581114551085,1,19197.256690000002,129777.97000000003,120698.4,55072.12999999998,102903.77000000002
M00303,CarParts 4,Automotive,Nouvelle-Aquitaine,0.0493,257193.82999999993,191,186,1346.5645549738217,2,12679.655818999996,88653.31999999998,75599.56999999999,37564.87000000001,55376.070000000014
M00193,CarParts 94,Automotive,Nouvelle-Aquitaine,0.0991,232126.7,266,255,872.6567669172932,3,23003.75597,69962.54000000004,52466.759999999995,25886.160000000003,83811.24000000002
M00417,CarParts 18,Automotive,Nouvelle-Aquitaine,0.0607,208260.91999999993,163,161,1277.6743558282203,4,12641.437843999995,69203.64000000001,61833.74999999998,17441.09,59782.44000000002
M00269,AutoShop 70,Automotive,Nouvelle-Aquitaine,0.0656,205834.79000000007,160,158,1286.4674375000004,5,13502.762224000006,66972.52,52889.889999999985,30503.29,55469.08999999998
M00014,CarParts 15,Automotive,Nouvelle-Aquitaine,0.0261,195648.27000000002,134,129,1460.0617164179105,6,5106.419847000001,58531.72,51132.469999999994,31612.94,54371.14
M00319,AutoCenter 20,Automotive,Nouvelle-Aquitaine,0.0392,160013.28000000006,165,160,969.7774545454549,7,6272.520576000002,51460.19,43713.08,25013.459999999992,39826.55
M00085,CarParts 86,Automotive,Nouvelle-Aquitaine,0.0736,142562.13,151,148,944.1200662251656,8,10492.572768,38728.390000000014,44232.15,17568.5,42033.090000000004
M00305,AutoShop 6,Automotive,Occitanie,0.0522,406358.4099999999,319,301,1273.8508150470216,1,21211.909001999997,124799.37999999998,94957.44999999992,55854.0,130747.57999999997
M00263,CarParts 64,Automotive,Occitanie,0.0612,300509.70999999996,227,218,1323.831321585903,2,18391.194251999998,83125.65999999999,88402.35000000002,43414.51,85567.19000000005
M00247,CarParts 48,Automotive,Occitanie,0.0675,218458.8,122,119,1790.6459016393442,3,14745.969000000001,66755.45999999999,62964.380000000005,29757.640000000003,58981.32000000001
M00053,MotorHub 54,Automotive,Occitanie,0.0337,204174.62,166,160,1229.9675903614457,4,6880.684694,61024.72000000001,70874.69,28269.240000000005,44005.969999999994
M00068,AutoShop 69,Automotive,Occitanie,0.0406,111601.60999999997,102,101,1094.1334313725488,5,4531.025365999999,42283.840000000004,24173.98,14290.88,30852.91
M00203,MotorHub 4,Automotive,Occitanie,0.0917,109539.25000000001,131,130,836.1774809160306,6,10044.749225000001,29544.98,35628.05,23866.97,20499.25
M00126,AutoShop 27,Automotive,Pays de la Loire,0.0738,359904.33999999985,323,311,1114.2549226006188,1,26560.940291999992,116592.65000000002,97285.78000000003,37696.59,108329.31999999999
M00287,AutoShop 88,Automotive,Pays de la Loire,0.099,295240.49000000005,220,210,1342.0022272727274,2,29228.808510000006,99318.89000000001,91600.79999999997,38660.25,65660.55
M00492,CarParts 93,Automotive,Pays de la Loire,0.0926,280787.77999999997,244,240,1150.7695901639343,3,26000.948427999996,78523.19000000002,86867.02999999998,27219.5,88178.05999999998
M00216,AutoCenter 17,Automotive,Pays de la Loire,0.0389,203102.24000000008,216,210,940.2881481481485,4,7900.677136000002,49138.71,62134.15999999998,23466.260000000002,68363.10999999999
M00468,AutoShop 69,Automotive,Provence-Alpes-Côte d'Azur,0.0186,271991.81000000006,254,243,1070.8338976377954,1,5059.047666,76685.79000000002,74459.41000000002,48122.09,72724.51999999999
M00050,CarParts 51,Automotive,Provence-Alpes-Côte d'Azur,0.0361,205795.14999999994,154,150,1336.3321428571423,2,7429.2049149999975,60148.68,49861.73000000002,30315.230000000003,65469.510000000024
M00135,MotorHub 36,Automotive,Provence-Alpes-Côte d'Azur,0.0853,188199.44,131,128,1436.6369465648854,3,16053.412232,43018.65999999998,62982.34000000001,26502.670000000002,55695.770000000004
M00127,GlowShop 28,Beauty,Auvergne-Rhône-Alpes,0.0692,33638.30999999999,271,264,124.12660516605162,1,2327.771051999999,9025.119999999999,10883.050000000001,4206.639999999999,9523.500000000002
M00104,GlowShop 5,Beauty,Auvergne-Rhône-Alpes,0.0106,28365.470000000016,215,206,131.93241860465125,2,300.6739820000002,6873.15,10587.079999999996,3733.6899999999996,7171.550000000004
M00375,BeautyCorner 76,Beauty,Auvergne-Rhône-Alpes,0.0921,22661.410000000003,209,205,108.42779904306222,3,2087.115861,5338.340000000002,7722.3099999999995,3016.44,6584.320000000002
M00156,CosmeticHub 57,Beauty,Auvergne-Rhône-Alpes,0.0156,22000.159999999985,195,187,112.82133333333326,4,343.20249599999977,5615.339999999997,7231.600000000002,2204.17,6949.049999999999
M00475,BeautyCorner 76,Beauty,Auvergne-Rhône-Alpes,0.0587,12099.309999999994,149,147,81.2034228187919,5,710.2294969999997,3433.4300000000003,3655.1200000000017,1586.95,3423.8100000000004
M00436,GlowShop 37,Beauty,Bretagne,0.0998,22120.799999999996,159,152,139.12452830188676,1,2207.6558399999994,4968.530000000001,7917.090000000002,3071.0499999999993,6164.13
M00447,BeautyCorner 48,Beauty,Bretagne,0.1,18758.97,129,128,145.41837209302327,2,1875.8970000000002,5763.6900000000005,5064.42,2820.5600000000004,5110.3
M00295,BeautyCorner 96,Beauty,Bretagne,0.0973,16792.010000000006,142,140,118.25359154929582,3,1633.8625730000006,6192.829999999999,4104.84,1445.33,5049.009999999999
M00055,BeautyCorner 56,Beauty,Bretagne,0.0332,15363.820000000002,192,189,80.01989583333334,4,510.07882400000005,4395.45,4046.4900000000002,1942.11,4979.77
M00401,CosmeticHub 2,Beauty,Grand Est,0.0324,32921.80999999999,341,320,96.54489736070379,1,1066.6666439999997,9091.900000000003,10583.449999999997,4342.5599999999995,8903.9
M00163,CosmeticHub 64,Beauty,Grand Est,0.0537,32704.159999999996,270,257,121.12651851851851,2,1756.2133919999997,8094.880000000001,10255.72,4537.25,9816.310000000001
M00422,GlowShop 23,Beauty,Grand Est,0.0752,19909.279999999988,189,186,105.34010582010576,3,1497.177855999999,5905.869999999999,5603.549999999998,2630.07,5769.790000000002
M00131,BeautyCorner 32,Beauty,Grand Est,0.0154,18181.739999999994,122,120,149.03065573770488,4,279.9987959999999,4918.0,5077.39,1550.6799999999998,6635.67
M00205,BeautyWorld 6,Beauty,Grand Est,0.0934,17161.5,189,183,90.8015873015873,5,1602.8841,4259.2699999999995,5912.959999999999,2532.0899999999997,4457.18
M00261,BeautyCorner 62,Beauty,Hauts-de-France,0.0256,32480.40000000001,271,263,119.85387453874542,1,831.4982400000002,8609.939999999999,13030.259999999998,3040.25,7799.95
M00297,GlowShop 98,Beauty,Hauts-de-France,0.0959,29257.77,228,224,128.32355263157896,2,2805.820143,10153.99,8679.34,2871.7499999999995,7552.690000000001
M00139,BeautyCorner 40,Beauty,Hauts-de-France,0.0489,27443.97999999999,239,231,114.82836820083678,3,1342.0106219999993,9446.230000000001,7961.03,3799.5499999999997,6237.170000000001
M00222,GlowShop 23,Beauty,Hauts-de-France,0.0919,22613.19,265,251,85.33279245283019,4,2078.152161,7484.42,6146.94,2199.91,6781.920000000003
M00267,BeautyWorld 68,Beauty,Hauts-de-France,0.0564,16505.18,164,162,100.64134146341463,5,930.892152,4684.199999999999,4163.390000000001,2114.36,5543.229999999999
M00339,CosmeticHub 40,Beauty,Hauts-de-France,0.0877,16407.510000000006,163,159,100.65957055214727,6,1438.9386270000005,5784.490000000001,4579.0,1727.1,4316.919999999999
M00186,BeautyCorner 87,Beauty,Ile-de-France,0.0178,37025.44000000002,292,279,126.79945205479459,1,659.0528320000003,10784.560000000003,10928.75,3827.18,11484.949999999997
M00232,GlowShop 33,Beauty,Ile-de-France,0.0252,25983.070000000018,236,232,110.09775423728821,2,654.7733640000005,7661.360000000001,7960.779999999998,3118.1,7242.83
M00296,CosmeticHub 97,Beauty,Ile-de-France,0.0541,22559.830000000016,140,136,161.14164285714298,3,1220.486803000001,6550.800000000002,7429.990000000001,2600.62,5978.42
M00430,CosmeticHub 31,Beauty,Ile-de-France,0.0222,20199.020000000008,196,193,103.05622448979595,4,448.4182440000002,6330.070000000001,5896.139999999999,2188.8599999999997,5783.949999999998
M00409,CosmeticHub 10,Beauty,Normandie,0.0984,34597.40000000001,245,238,141.21387755102043,1,3404.384160000001,8221.720000000001,9346.869999999999,5869.179999999999,11159.630000000001
M00161,CosmeticHub 62,Beauty,Normandie,0.0559,33042.62999999999,266,261,124.22041353383455,2,1847.0830169999995,9731.38,10691.330000000002,3503.52,9116.399999999998
M00367,BeautyWorld 68,Beauty,Normandie,0.0142,13903.16,124,121,112.12225806451613,3,197.42487200000002,3742.1300000000006,4399.910000000001,2074.6300000000006,3686.4899999999993
M00373,GlowShop 74,Beauty,Nouvelle-Aquitaine,0.0951,43390.899999999994,300,291,144.6363333333333,1,4126.47459,12191.960000000003,12325.030000000004,6363.69,12510.219999999998
M00286,BeautyCorner 87,Beauty,Nouvelle-Aquitaine,0.0819,25350.230000000007,244,235,103.89438524590167,2,2076.1838370000005,7156.880000000001,6086.699999999999,4456.85,7649.800000000002
M00176,BeautyCorner 77,Beauty,Nouvelle-Aquitaine,0.022,15055.25,154,148,97.76136363636364,3,331.21549999999996,6242.129999999999,4007.25,1184.1100000000001,3621.7599999999993
M00429,BeautyWorld 30,Beauty,Occitanie,0.0701,34708.97999999999,302,281,114.93039735099335,1,2433.099497999999,9419.960000000003,10569.989999999998,5279.03,9440.0
M00279,BeautyCorner 80,Beauty,Occitanie,0.0952,23963.620000000006,220,210,108.92554545454549,2,2281.336624000001,7868.54,5940.08,2740.0,7414.999999999997
M00194,GlowShop 95,Beauty,Occitanie,0.0296,15849.200000000004,239,230,66.31464435146445,3,469.1363200000001,4822.050000000001,4721.12,2130.7999999999997,4175.230000000001
M00138,BeautyCorner 39,Beauty,Pays de la Loire,0.0585,31731.65,284,269,111.73116197183099,1,1856.301525,9220.029999999997,10384.9,3765.5899999999997,8361.130000000001
M00101,CosmeticHub 2,Beauty,Pays de la Loire,0.0365,23883.510000000013,142,138,168.1937323943663,2,871.7481150000004,8125.299999999998,7828.880000000001,2221.4199999999996,5707.910000000001
M00230,BeautyCorner 31,Beauty,Pays de la Loire,0.0678,22204.770000000008,181,172,122.67828729281773,3,1505.4834060000005,6199.659999999998,6732.879999999999,2857.7500000000005,6414.4800000000005
M00039,BeautyWorld 40,Beauty,Pays de la Loire,0.0794,17418.58,160,156,108.86612500000001,4,1383.0352520000001,5310.379999999998,4318.490000000002,2550.4799999999996,5239.23
M00437,BeautyCorner 38,Beauty,Pays de la Loire,0.0313,14617.759999999998,113,112,129.36070796460174,5,457.53588799999994,4802.780000000001,4297.68,2163.97,3353.3300000000004
M00119,CosmeticHub 20,Beauty,Provence-Alpes-Côte d'Azur,0.0947,36988.38,238,233,155.4133613445378,1,3502.799586,11039.390000000001,11891.090000000002,4468.33,9589.57
M00246,BeautyWorld 47,Beauty,Provence-Alpes-Côte d'Azur,0.0485,23584.56,226,211,104.35646017699116,2,1143.8511600000002,5466.980000000002,7989.579999999999,4207.4000000000015,5920.6
M00325,GlowShop 26,Beauty,Provence-Alpes-Côte d'Azur,0.0791,20704.379999999994,165,159,125.48109090909087,3,1637.7164579999996,6894.920000000001,6167.920000000001,1641.84,5999.699999999998
M00143,CosmeticHub 44,Beauty,Provence-Alpes-Côte d'Azur,0.0755,19396.58,146,142,132.8532876712329,4,1464.44179,6134.449999999999,6146.620000000002,2807.35,4308.159999999999
M00360,ReadMore 61,Books,Auvergne-Rhône-Alpes,0.072,9027.05,277,266,32.58862815884476,1,649.9475999999999,2812.810000000001,2924.07,992.74,2297.4300000000003
M00026,ReadMore 27,Books,Auvergne-Rhône-Alpes,0.0399,3415.3199999999997,105,104,32.52685714285714,2,136.271268,887.6,841.7399999999998,325.3500000000001,1360.6300000000006
M00065,ReadMore 66,Books,Auvergne-Rhône-Alpes,0.0898,2953.6799999999994,110,107,26.85163636363636,3,265.240464,878.1299999999999,955.1500000000002,374.4699999999999,745.93
M00182,LibraryShop 83,Books,Bretagne,0.0486,8690.459999999995,232,224,37.458879310344805,1,422.3563559999998,2389.59,2667.56,987.6299999999998,2645.68
M00288,BookHaven 89,Books,Bretagne,0.0392,7883.949999999994,266,259,29.63890977443607,2,309.05083999999977,2505.5299999999997,2664.2699999999986,768.82,1945.3300000000004
M00098,BookCorner 99,Books,Bretagne,0.0891,6042.189999999999,201,197,30.060646766169146,3,538.3591289999998,1966.44,1578.5999999999997,899.3500000000001,1597.8
M00224,ReadMore 25,Books,Bretagne,0.0657,5947.94,228,221,26.087456140350877,4,390.7796579999999,1715.8599999999997,1779.75,806.9499999999999,1645.3800000000003
M00439,LibraryShop 40,Books,Bretagne,0.0292,5619.680000000003,168,167,33.45047619047621,5,164.0946560000001,1805.1200000000006,1695.9800000000005,683.82,1434.7600000000002
M00054,BookHaven 55,Books,Bretagne,0.0436,5026.959999999999,208,206,24.168076923076917,6,219.17545599999997,1434.0399999999997,1666.4299999999994,471.7899999999999,1454.6999999999998
M00344,LibraryShop 45,Books,Bretagne,0.0327,4977.669999999997,213,204,23.36934272300468,7,162.76980899999992,1483.9500000000003,1354.100000000001,652.87,1486.7500000000005
M00462,ReadMore 63,Books,Bretagne,0.0592,4721.510000000001,168,165,28.104226190476197,8,279.51339200000007,1151.2800000000002,1622.84,925.2500000000001,1022.14
M00091,ReadMore 92,Books,Bretagne,0.0335,4719.430000000001,194,187,24.326958762886605,9,158.10090500000004,1346.52,1371.68,643.7199999999998,1357.51
M00496,ReadMore 97,Books,Bretagne,0.0876,4700.44,174,168,27.014022988505744,10,411.758544,1422.0200000000002,1710.9299999999996,470.8,1096.6900000000003
M00038,LibraryShop 39,Books,Bretagne,0.0782,4598.37,145,142,31.712896551724135,11,359.592534,1232.89,1469.7800000000004,632.38,1263.3200000000002
M00347,LibraryShop 48,Books,Bretagne,0.047,4581.3,138,131,33.197826086956525,12,215.3211,1330.0400000000002,1192.6,677.97,1380.6899999999994
M00028,ReadMore 29,Books,Bretagne,0.0226,4507.719999999999,158,154,28.529873417721515,13,101.87447199999998,1408.6600000000003,1150.16,480.05,1468.85
M00495,BookHaven 96,Books,Bretagne,0.025,2996.3499999999995,124,123,24.164112903225803,14,74.90874999999998,1100.05,845.29,323.29,727.72
M00124,LibraryShop 25,Books,Grand Est,0.0708,3484.0899999999992,161,156,21.640310559006206,1,246.67357199999995,1064.3100000000004,1248.5599999999995,337.47,833.75
M00412,BookHaven 13,Books,Hauts-de-France,0.071,8748.109999999999,251,245,34.85302788844621,1,621.1158099999999,2554.5900000000006,2479.6900000000005,1293.6599999999999,2420.169999999999
M00410,LibraryShop 11,Books,Hauts-de-France,0.0995,7535.57,208,201,36.22870192307692,2,749.789215,2277.8300000000004,2135.9899999999993,720.34,2401.4100000000003
M00240,BookCorner 41,Books,Hauts-de-France,0.0534,7093.060000000003,218,213,32.53697247706423,3,378.7694040000002,2052.9500000000003,2529.040000000001,726.44,1784.6300000000003
M00095,LibraryShop 96,Books,Hauts-de-France,0.0817,6203.730000000002,203,201,30.56024630541873,4,506.84474100000017,1779.7999999999997,1602.2099999999998,753.23,2068.4900000000007
M00123,BookHaven 24,Books,Hauts-de-France,0.0515,5867.450000000001,219,205,26.792009132420095,5,302.173675,2207.5699999999997,1502.5299999999997,511.2599999999999,1646.0900000000001
M00298,BookHaven 99,Books,Hauts-de-France,0.0106,4702.729999999997,171,168,27.501345029239747,6,49.84893799999997,1652.82,1223.14,464.06000000000006,1362.7100000000003
M00037,ReadMore 38,Books,Hauts-de-France,0.0281,4476.85,125,122,35.814800000000005,7,125.799485,1290.46,1483.8899999999999,397.25,1305.25
M00327,LibraryShop 28,Books,Hauts-de-France,0.0397,4181.37,141,137,29.655106382978722,8,166.00038899999998,1283.36,1163.9399999999998,313.4199999999999,1420.65
M00169,BookHaven 70,Books,Ile-de-France,0.044,9078.130000000001,252,240,36.024325396825404,1,399.43772,2604.6800000000007,2967.1199999999994,793.4,2712.93
M00040,ReadMore 41,Books,Ile-de-France,0.0244,7514.519999999999,195,186,38.535999999999994,2,183.35428799999997,2223.390000000001,1992.7500000000005,844.1299999999998,2454.249999999999
M00078,BookHaven 79,Books,Ile-de-France,0.094,6227.13,182,180,34.215,3,585.35022,1563.52,2014.73,507.48,2141.3999999999996
M00023,LibraryShop 24,Books,Normandie,0.098,7346.260000000002,220,214,33.39209090909092,1,719.9334800000003,2162.5599999999995,2122.93,1157.7900000000002,1902.98
M00311,BookCorner 12,Books,Normandie,0.0548,6953.880000000002,176,172,39.51068181818183,2,381.07262400000013,1674.8500000000004,2633.32,866.64,1779.0699999999995
M00016,BookCorner 17,Books,Normandie,0.0614,6909.5599999999995,192,190,35.987291666666664,3,424.246984,2161.62,2049.6600000000003,954.9799999999998,1743.3000000000002
M00395,ReadMore 96,Books,Normandie,0.017,5212.32,158,155,32.989367088607594,4,88.60944,1466.7099999999998,1643.8700000000001,422.98999999999995,1678.75
M00092,BookHaven 93,Books,Normandie,0.0131,4741.0599999999995,124,123,38.23435483870967,5,62.10788599999999,1218.2599999999998,1240.7600000000002,624.1,1657.9399999999998
M00241,BookCorner 42,Books,Normandie,0.0977,4161.860000000001,146,143,28.50589041095891,6,406.61372200000005,1495.38,1481.22,446.0800000000001,739.18
M00323,ReadMore 24,Books,Normandie,0.0439,2960.229999999999,105,100,28.192666666666657,7,129.95409699999996,1076.44,1132.48,198.20000000000002,553.1099999999999
M00376,BookHaven 77,Books,Nouvelle-Aquitaine,0.0758,10867.580000000004,291,277,37.345635738831625,1,823.7625640000003,3242.640000000001,3488.96,1236.4000000000003,2899.58
M00218,LibraryShop 19,Books,Nouvelle-Aquitaine,0.0967,9929.749999999993,294,276,33.77465986394555,2,960.2068249999992,2994.17,2566.4599999999996,1338.1700000000003,3030.95
M00278,BookHaven 79,Books,Nouvelle-Aquitaine,0.0891,5937.220000000001,151,150,39.31933774834438,3,529.0063020000001,1503.1800000000003,2470.8699999999994,665.7600000000001,1297.41
M00277,LibraryShop 78,Books,Nouvelle-Aquitaine,0.0998,5620.590000000001,206,198,27.284417475728162,4,560.9348820000001,1366.4700000000005,1860.0099999999998,581.8799999999999,1812.2300000000005
M00032,BookHaven 33,Books,Nouvelle-Aquitaine,0.0601,5134.680000000001,164,163,31.30902439024391,5,308.59426800000006,1738.6699999999998,1718.98,448.16999999999996,1228.86
M00453,BookHaven 54,Books,Nouvelle-Aquitaine,0.056,5079.909999999998,127,125,39.99929133858266,6,284.4749599999999,1613.6,1636.4400000000003,512.68,1317.19
M00355,ReadMore 56,Books,Nouvelle-Aquitaine,0.062,4881.02,147,144,33.20421768707483,7,302.62324,1805.5199999999998,1181.5,342.03000000000003,1551.9699999999996
M00377,ReadMore 78,Books,Nouvelle-Aquitaine,0.0445,4068.220000000001,148,144,27.48797297297298,8,181.03579000000005,1180.08,1205.05,655.5199999999999,1027.57
M00010,LibraryShop 11,Books,Occitanie,0.0838,10298.560000000001,301,288,34.21448504983389,1,863.0193280000001,3056.1400000000012,3363.7099999999996,1327.99,2550.719999999999
M00242,BookHaven 43,Books,Occitanie,0.092,6800.810000000003,245,238,27.75840816326532,2,625.6745200000003,2079.0499999999997,1554.9800000000005,1126.47,2040.3099999999995
M00272,BookHaven 73,Books,Occitanie,0.0144,5023.729999999997,204,196,24.626127450980377,3,72.34171199999996,1800.33,1795.7300000000002,543.21,884.4599999999999
M00300,ReadMore 1,Books,Occitanie,0.085,4806.419999999999,155,153,31.009161290322574,4,408.54569999999995,1679.95,1110.2,500.65000000000003,1515.6199999999997
M00150,BookCorner 51,Books,Occitanie,0.0552,4566.910000000001,130,127,35.13007692307693,5,252.09343200000004,1497.5399999999997,1489.32,437.0,1143.0500000000004
M00362,BookHaven 63,Books,Occitanie,0.0102,4459.49,100,100,44.594899999999996,6,45.486798,1648.3799999999997,1274.0499999999997,517.46,1019.6000000000003
M00449,BookCorner 50,Books,Pays de la Loire,0.032,9010.890000000005,286,278,31.50660839160841,1,288.34848000000017,3169.4900000000007,2829.22,1009.38,2002.8
M00425,BookCorner 26,Books,Pays de la Loire,0.0307,4554.020000000001,185,180,24.61632432432433,2,139.80841400000006,1346.4500000000003,1341.21,323.72999999999996,1542.6299999999997
M00214,LibraryShop 15,Books,Provence-Alpes-Côte d'Azur,0.082,8658.240000000002,249,231,34.77204819277109,1,709.9756800000001,2592.43,2418.4700000000003,1204.2699999999995,2443.07
M00441,BookHaven 42,Books,Provence-Alpes-Côte d'Azur,0.0865,6592.320000000001,194,192,33.98103092783506,2,570.23568,1996.5400000000002,2080.84,644.9200000000001,1870.0200000000004
M00036,BookHaven 37,Books,Provence-Alpes-Côte d'Azur,0.0693,6264.539999999996,201,190,31.166865671641773,3,434.13262199999974,1772.0600000000004,2170.5699999999997,730.43,1591.4800000000002
M00302,LibraryShop 3,Books,Provence-Alpes-Côte d'Azur,0.0866,4323.919999999999,156,153,27.71743589743589,4,374.4514719999999,1324.3400000000004,1281.49,612.1500000000001,1105.9399999999998
M00234,ReadMore 35,Books,Provence-Alpes-Côte d'Azur,0.0341,3484.280000000001,127,126,27.43527559055119,5,118.81394800000004,1194.0600000000002,920.9599999999998,371.33,997.9299999999997
M00179,TrendyWear 80,Clothing,Auvergne-Rhône-Alpes,0.0226,29560.230000000003,163,155,181.35110429447855,1,668.061198,10568.779999999999,7660.6900000000005,2456.9799999999996,8873.780000000002
M00020,ClothingHub 21,Clothing,Auvergne-Rhône-Alpes,0.0672,23858.140000000007,189,185,126.23354497354501,2,1603.2670080000003,7055.469999999999,8159.439999999998,2733.3899999999994,5909.839999999998
M00048,StyleShop 49,Clothing,Bretagne,0.0534,54295.29,317,303,171.27851735015773,1,2899.3684860000003,17530.090000000004,17124.329999999998,7823.2,11817.67
M00335,StyleShop 36,Clothing,Bretagne,0.0787,52016.22999999998,274,263,189.84025547445248,2,4093.677300999999,15600.559999999996,14633.46,5550.519999999998,16231.689999999995
M00353,ClothingHub 54,Clothing,Bretagne,0.0658,44203.43999999999,301,285,146.85528239202654,3,2908.586351999999,13279.279999999995,13921.209999999997,6102.72,10900.230000000003
M00258,FashionStore 59,Clothing,Bretagne,0.0656,30989.009999999984,172,169,180.16866279069757,4,2032.879055999999,10061.579999999996,10689.879999999997,3443.1099999999997,6794.4400000000005
